Date,Open,High,Low,Close,Volume,Change(%)
2018-06-27,99.58,100.02,97.45,97.54,31295794.0,-1.54(-1.55%)
2018-06-26,98.82,100.08,98.75,99.08,26894330.0,+0.69(+0.70%)
2018-06-25,100.0,100.11,97.3,98.39,35431947.0,-2.02(-2.01%)
2018-06-22,100.41,100.77,99.63,100.41,38923105.0,-0.73(-0.72%)
2018-06-21,102.07,102.46,100.88,101.14,23190755.0,-0.73(-0.72%)
2018-06-20,101.37,102.52,101.12,101.87,26179374.0,+1.01(+1.00%)
2018-06-19,99.65,101.0,99.5,100.86,28649463.0,+0.00(+0.00%)
2018-06-18,100.01,101.11,99.42,100.86,23581232.0,+0.73(+0.73%)
2018-06-14,101.65,102.03,101.0,101.42,25690107.0,+0.57(+0.57%)
2018-06-13,101.72,102.01,100.56,100.85,29490224.0,-0.46(-0.45%)
2018-06-12,101.1,101.45,100.75,101.31,18324241.0,+0.26(+0.26%)
2018-06-11,101.01,101.59,100.67,101.05,23490117.0,-0.58(-0.57%)
2018-06-08,101.09,101.95,100.54,101.63,22165128.0,+0.75(+0.74%)
2018-06-07,102.65,102.69,100.38,100.88,28229006.0,-1.61(-1.57%)
2018-06-06,102.48,102.6,101.9,102.49,21121299.0,+0.30(+0.29%)
2018-06-05,102.0,102.33,101.53,102.19,23512875.0,+0.52(+0.51%)
2018-06-04,101.26,101.86,100.85,101.67,27273828.0,+0.88(+0.87%)
2018-06-01,99.28,100.86,99.17,100.79,28655624.0,+1.95(+1.97%)
2018-05-31,99.29,99.99,98.61,98.84,34126149.0,-0.11(-0.11%)
2018-05-30,98.31,99.25,97.91,98.95,22158016.0,+0.94(+0.96%)
2018-05-29,97.84,98.88,97.23,98.01,28670025.0,-0.35(-0.36%)
2018-05-24,98.72,98.94,96.81,98.31,26644560.0,-0.35(-0.35%)
2018-05-23,96.71,98.73,96.32,98.66,21250397.0,+1.16(+1.19%)
2018-05-22,97.68,98.17,97.2,97.5,15440459.0,-0.10(-0.10%)
2018-05-21,97.0,98.01,96.8,97.6,19419167.0,+1.24(+1.29%)
2018-05-18,96.01,96.93,96.01,96.36,17865840.0,+0.18(+0.19%)
2018-05-17,96.76,97.54,95.83,96.18,17241976.0,-0.97(-1.00%)
2018-05-16,97.36,97.4,96.61,97.15,17383367.0,-0.17(-0.17%)
2018-05-15,97.24,97.85,96.34,97.32,24593366.0,-0.71(-0.72%)
2018-05-14,97.92,98.69,97.32,98.03,19453138.0,+0.33(+0.34%)
2018-05-11,97.8,97.87,97.04,97.7,16778316.0,-0.21(-0.21%)
2018-05-10,97.46,97.95,97.05,97.91,22384680.0,+0.97(+1.00%)
2018-05-09,96.01,96.97,95.05,96.94,27326450.0,+1.13(+1.18%)
2018-05-08,95.85,96.16,95.06,95.81,22842455.0,-0.41(-0.43%)
2018-05-07,95.17,96.71,95.1,96.22,24258923.0,+1.06(+1.11%)
2018-05-04,93.32,95.37,92.92,95.16,22531325.0,+1.09(+1.16%)
2018-05-03,92.96,94.93,92.45,94.07,31141187.0,+0.56(+0.60%)
2018-05-02,94.99,95.17,93.19,93.51,27468032.0,-1.49(-1.57%)
2018-05-01,93.21,95.29,92.79,95.0,31408353.0,+1.48(+1.58%)
2018-04-30,96.33,96.4,93.15,93.52,41520878.0,-2.30(-2.40%)
2018-04-27,97.6,97.89,93.91,95.82,48272780.0,+1.56(+1.65%)
2018-04-26,93.55,95.15,93.1,94.26,42461035.0,+1.95(+2.11%)
2018-04-25,93.3,93.3,90.28,92.31,33714766.0,-0.81(-0.87%)
2018-04-24,96.24,96.47,92.41,93.12,34518932.0,-2.23(-2.34%)
2018-04-23,95.74,96.29,94.63,95.35,22330175.0,+0.35(+0.37%)
2018-04-20,95.91,96.11,94.05,95.0,31154377.0,-1.11(-1.15%)
2018-04-19,96.44,97.07,95.34,96.11,23550288.0,-0.33(-0.34%)
2018-04-18,96.22,96.72,95.52,96.44,21038655.0,+0.37(+0.39%)
2018-04-17,95.0,96.54,94.88,96.07,26768185.0,+1.90(+2.02%)
2018-04-16,94.07,94.66,93.42,94.17,20285541.0,+1.09(+1.17%)
2018-04-13,94.05,94.18,92.44,93.08,23346063.0,-0.50(-0.53%)
2018-04-12,92.43,94.16,92.43,93.58,26755489.0,+1.72(+1.87%)
2018-04-11,92.01,93.29,91.48,91.86,24860194.0,-1.02(-1.10%)
2018-04-10,92.39,93.28,91.64,92.88,26934250.0,+2.11(+2.32%)
2018-04-09,91.04,93.17,90.62,90.77,31529121.0,+0.54(+0.60%)
2018-04-05,92.43,93.07,91.4,92.38,29707707.0,+0.05(+0.05%)
2018-04-04,87.85,92.76,87.73,92.33,35551938.0,+2.62(+2.92%)
2018-04-03,89.57,90.05,87.89,89.71,37201855.0,+1.19(+1.34%)
2018-04-02,90.47,90.88,87.51,88.52,48504631.0,-2.75(-3.01%)
2018-03-28,89.82,91.23,88.87,89.39,52490494.0,-0.08(-0.09%)
2018-03-27,94.94,95.14,88.51,89.47,56550291.0,-4.31(-4.60%)
2018-03-26,90.61,94.0,90.4,93.78,56386179.0,+6.60(+7.57%)
2018-03-23,89.5,90.46,87.08,87.18,44068949.0,-2.61(-2.91%)
2018-03-22,91.26,91.75,89.66,89.79,38599330.0,-2.69(-2.91%)
2018-03-21,92.93,94.05,92.21,92.48,24456736.0,-0.65(-0.70%)
2018-03-20,93.05,93.77,93.0,93.13,23075082.0,+0.24(+0.26%)
2018-03-19,93.74,93.9,92.11,92.89,33335338.0,-1.71(-1.81%)
